"","year","country","attacks","icd_tot","icd_1000","pop","ef_os","ps","unem","gulf"
"1",2005,"Angola",0,0,0,"19433602",NA,-0.89,3.809999943,"Guinea"
"2",2005,"Benin",0,0,0,"7982225",52.3,0.45,0.800000012,"Guinea"
"3",2005,"Cameroon",1,0,0,"17733410",53,-0.18,4.400000095,"Guinea"
"4",2005,"Djibouti",1,0,0,"783254",55.2,-0.81,11.52000046,"Aden"
"5",2005,"Eritrea",2,0,0,"2826659",NA,-0.8,6.760000229,"Aden"
"6",2005,"Gabon",0,0,0,"1390549",54.8,0.33,16.90999985,"Guinea"
"7",2005,"Ghana",1,0,0,"21814642",56.5,0.17,5.5,"Guinea"
"8",2005,"Kenya",0,0,0,"36624895",57.9,-1.25,2.859999895,"Aden"
"9",2005,"Nigeria",14,0,0,"138865016",48.4,-1.67,3.769999981,"Guinea"
"10",2005,"Oman",2,0,0,"2511251",66.5,0.95,3.799999952,"Aden"
"11",2005,"Somalia",38,0,0,"10446863",NA,-2.71,13.39000034,"Aden"
"12",2005,"Tanzania",6,0,0,"38450320",56.3,-0.58,3.309999943,"Aden"
"13",2005,"Togo",0,0,0,"5611640",48.2,-1.45,4.360000134,"Guinea"
"14",2005,"Yemen",10,0,0,"20107409",53.8,-1.44,12.17000008,"Aden"
"15",2006,"Angola",6,0,0,"20149901",43.5,-0.54,3.730000019,"Guinea"
"16",2006,"Benin",0,0,0,"8216897",54,0.55,0.810000002,"Guinea"
"17",2006,"Cameroon",0,0,0,"18223674",54.6,-0.25,3.690000057,"Guinea"
"18",2006,"Djibouti",0,0,0,"794563",53.2,-0.26,11.34000015,"Aden"
"19",2006,"Eritrea",1,0,0,"2918205",NA,-0.9,6.619999886,"Aden"
"20",2006,"Gabon",0,0,0,"1430152",56.1,0.22,17.37000084,"Guinea"
"21",2006,"Ghana",2,0,0,"22379055",55.6,0.01,4.639999866,"Guinea"
"22",2006,"Kenya",0,0,0,"37649033",59.7,-1.13,2.769999981,"Aden"
"23",2006,"Nigeria",11,0,0,"142538308",48.7,-2.03,3.690000057,"Guinea"
"24",2006,"Oman",2,0,0,"2580758",63.7,0.84,3.940000057,"Aden"
"25",2006,"Somalia",16,547,0.050817988,"10763905",NA,-2.75,13.18999958,"Aden"
"26",2006,"Tanzania",9,0,0,"39548663",58.5,-0.36,3.299999952,"Aden"
"27",2006,"Togo",1,0,0,"5762880",47.3,-0.53,4.230000019,"Guinea"
"28",2006,"Yemen",18,0,0,"20687646",52.6,-1.35,12.13000011,"Aden"
"29",2007,"Angola",3,25,0.001195865,"20905363",44.7,-0.67,3.660000086,"Guinea"
"30",2007,"Benin",0,0,0,"8454793",55.1,0.39,0.819999993,"Guinea"
"31",2007,"Cameroon",0,0,0,"18730282",55.6,-0.33,3.059999943,"Guinea"
"32",2007,"Djibouti",0,0,0,"805451",52.4,-0.12,11.17000008,"Aden"
"33",2007,"Eritrea",0,0,0,"2996536",NA,-1.05,6.5,"Aden"
"34",2007,"Gabon",0,0,0,"1472575",54.8,0.3,17.84000015,"Guinea"
"35",2007,"Ghana",0,0,0,"22963946",57.6,-0.07,4.690000057,"Guinea"
"36",2007,"Kenya",0,0,0,"38705932",59.6,-1.3,2.690000057,"Aden"
"37",2007,"Nigeria",41,0,0,"146339977",55.6,-2.01,3.619999886,"Guinea"
"38",2007,"Oman",5,0,0,"2657158",65.8,0.94,4.079999924,"Aden"
"39",2007,"Somalia",14,1546,0.139529162,"11080121",NA,-3.22,13.02000046,"Aden"
"40",2007,"Tanzania",11,0,0,"40681414",56.8,-0.39,2.920000076,"Aden"
"41",2007,"Togo",0,0,0,"5920359",49.7,-0.34,3.599999905,"Guinea"
"42",2007,"Yemen",22,0,0,"21282515",54.1,-1.59,12.10000038,"Aden"
"43",2008,"Angola",3,0,0,"21695634",46.9,-0.36,3.630000114,"Guinea"
"44",2008,"Benin",0,0,0,"8696921",55.2,0.37,0.850000024,"Guinea"
"45",2008,"Cameroon",1,0,0,"19252666",54.3,-0.55,3.309999943,"Guinea"
"46",2008,"Djibouti",0,0,0,"816358",51.2,0.27,11.10000038,"Aden"
"47",2008,"Eritrea",2,0,0,"3062779",NA,-0.71,6.440000057,"Aden"
"48",2008,"Gabon",0,0,0,"1518540",54.2,0.26,18.44000053,"Guinea"
"49",2008,"Ghana",2,0,0,"23563825",57,-0.03,4.789999962,"Guinea"
"50",2008,"Kenya",2,0,0,"39791981",59.3,-1.39,2.660000086,"Aden"
"51",2008,"Nigeria",32,0,0,"150269623",55.1,-1.86,3.589999914,"Guinea"
"52",2008,"Oman",3,0,0,"2750963",67.3,0.92,4.139999866,"Aden"
"53",2008,"Somalia",25,1491,0.130821743,"11397188",NA,-3.28,12.93999958,"Aden"
"54",2008,"Tanzania",14,0,0,"41853944",56.5,-0.23,2.609999895,"Aden"
"55",2008,"Togo",1,0,0,"6083420",48.9,-0.17,3.079999924,"Guinea"
"56",2008,"Yemen",155,0,0,"21892146",53.8,-2.01,12.17000008,"Aden"
"57",2009,"Angola",2,25,0.001110406,"22514281",47,-0.35,3.779999971,"Guinea"
"58",2009,"Benin",1,0,0,"8944708",55.4,0.4,0.970000029,"Guinea"
"59",2009,"Cameroon",2,0,0,"19789919",53,-0.47,3.769999981,"Guinea"
"60",2009,"Djibouti",6,0,0,"827823",51.3,0.49,11.46000004,"Aden"
"61",2009,"Eritrea",7,0,0,"3119920",38.5,-0.68,6.71999979,"Aden"
"62",2009,"Gabon",0,0,0,"1568928",55,0.14,19.59000015,"Guinea"
"63",2009,"Ghana",1,0,0,"24170940",58.1,0.03,5.139999866,"Guinea"
"64",2009,"Kenya",2,0,0,"40901792",58.7,-1.43,2.829999924,"Aden"
"65",2009,"Nigeria",25,405,0.002624333,"154324933",55.1,-2,3.75,"Guinea"
"66",2009,"Oman",6,0,0,"2876186",67,0.83,3.839999914,"Aden"
"67",2009,"Somalia",14,1496,0.127670193,"11717692",NA,-3.31,13.31999969,"Aden"
"68",2009,"Tanzania",7,0,0,"43073834",58.3,0.09,2.5,"Aden"
"69",2009,"Togo",4,0,0,"6250835",48.7,-0.17,2.799999952,"Guinea"
"70",2009,"Yemen",132,94,0.004174724,"22516460",56.9,-2.33,12.71000004,"Aden"
"71",2010,"Angola",3,0,0,"23356246",48.4,-0.23,9.430000305,"Guinea"
"72",2010,"Benin",1,0,0,"9199259",55.4,0.26,1.039999962,"Guinea"
"73",2010,"Cameroon",4,0,0,"20341241",52.3,-0.74,4.110000134,"Guinea"
"74",2010,"Djibouti",2,0,0,"840198",51,0.25,11.52000046,"Aden"
"75",2010,"Eritrea",17,0,0,"3170435",35.3,-0.88,6.760000229,"Aden"
"76",2010,"Gabon",0,0,0,"1624140",55.4,0.3,20.38999939,"Guinea"
"77",2010,"Ghana",0,0,0,"24779619",60.2,0.03,5.320000172,"Guinea"
"78",2010,"Kenya",16,0,0,"42030676",57.5,-1.17,2.859999895,"Aden"
"79",2010,"Nigeria",14,0,0,"158503197",56.8,-2.21,3.769999981,"Guinea"
"80",2010,"Oman",25,0,0,"3041434",67.7,0.59,3.710000038,"Aden"
"81",2010,"Somalia",15,2150,0.178513856,"12043883",NA,-3.13,13.39000034,"Aden"
"82",2010,"Tanzania",25,0,0,"44346525",58.3,0.01,2.980000019,"Aden"
"83",2010,"Togo",0,0,0,"6421679",47.1,-0.18,2.390000105,"Guinea"
"84",2010,"Yemen",84,175,0.00755781,"23154855",54.4,-2.42,12.93000031,"Aden"
"85",2011,"Angola",4,0,0,"24220661",46.2,-0.37,7.360000134,"Guinea"
"86",2011,"Benin",19,0,0,"9460830",56,0.32,2.650000095,"Guinea"
"87",2011,"Cameroon",0,0,0,"20906388",51.8,-0.66,3.970000029,"Guinea"
"88",2011,"Djibouti",5,0,0,"853674",54.5,0.18,11.51000023,"Aden"
"89",2011,"Eritrea",13,0,0,"3213972",36.7,-0.77,6.760000229,"Aden"
"90",2011,"Gabon",0,0,0,"1684635",56.7,0.38,20.37999916,"Guinea"
"91",2011,"Ghana",3,0,0,"25387710",59.4,0.17,5.619999886,"Guinea"
"92",2011,"Kenya",5,0,0,"43178257",57.4,-1.24,2.859999895,"Aden"
"93",2011,"Nigeria",7,324,0.00199011,"162805071",56.7,-1.96,3.769999981,"Guinea"
"94",2011,"Oman",37,0,0,"3251108",69.8,0.43,3.640000105,"Aden"
"95",2011,"Somalia",4,1938,0.156589585,"12376302",NA,-3.08,13.38000011,"Aden"
"96",2011,"Tanzania",11,0,0,"45673338",57,-0.02,3.470000029,"Aden"
"97",2011,"Togo",5,0,0,"6595943",49.1,-0.16,1.980000019,"Guinea"
