country,year,icd_tot,icd_1000,pop,ef_os,ps,unem,gulf
Angola,1991,516,0.042126228,12248901,N/A,N/A,3.75,Guinea
Angola,1992,2346,0.18534662,12657366,N/A,N/A,3.779999971,Guinea
Angola,1993,12054,0.921908591,13075049,N/A,N/A,3.849999905,Guinea
Angola,1994,3974,0.294288689,13503747,N/A,N/A,3.869999886,Guinea
Angola,1995,187,0.013409626,13945206,27.4,N/A,3.859999895,Guinea
Angola,1996,29,0.002013788,14400719,24.4,-2.06,3.859999895,Guinea
Angola,1997,51,0.003429362,14871570,24.2,N/A,3.859999895,Guinea
Angola,1998,1066,0.069402845,15359601,24.9,-2.31,3.859999895,Guinea
Angola,1999,2273,0.143254476,15866869,23.7,N/A,3.880000114,Guinea
Angola,2000,1000,0.060992446,16395473,24.3,-2.04,3.869999886,Guinea
Angola,2001,1123,0.066270292,16945753,N/A,N/A,3.849999905,Guinea
Angola,2002,526,0.03002383,17519417,N/A,-1.58,3.880000114,Guinea
Angola,2003,25,0.001379578,18121479,N/A,-1.01,3.880000114,Guinea
Angola,2004,25,0.001332754,18758145,N/A,-1.06,3.849999905,Guinea
Angola,2005,0,0,19433602,N/A,-0.89,3.809999943,Guinea
Angola,2006,0,0,20149901,43.5,-0.54,3.730000019,Guinea
Angola,2007,25,0.001195865,20905363,44.7,-0.67,3.660000086,Guinea
Angola,2008,0,0,21695634,46.9,-0.36,3.630000114,Guinea
Angola,2009,25,0.001110406,22514281,47,-0.35,3.779999971,Guinea
Angola,2010,0,0,23356246,48.4,-0.23,9.430000305,Guinea
Angola,2011,0,0,24220661,46.2,-0.37,7.360000134,Guinea
Angola,2012,0,0,25107931,46.7,-0.39,7.369999886,Guinea
Angola,2013,0,0,26015780,47.3,-0.39,7.380000114,Guinea
Angola,2014,0,0,26941779,47.7,-0.33,7.309999943,Guinea
Angola,2015,0,0,27884381,47.9,-0.5,7.260000229,Guinea
Angola,2016,25,0.000866777,28842484,48.9,-0.32,7.199999809,Guinea
Angola,2017,25,0.000838455,29816748,48.5,-0.33,7.099999905,Guinea
Angola,2018,0,0,30809762,48.6,-0.32,7,Guinea
Angola,2019,25,0.000785539,31825295,50.6,-0.31,6.929999828,Guinea
Benin,1991,0,0,5149499,N/A,N/A,1.480000019,Guinea
Benin,1992,0,0,5331803,N/A,N/A,1.50999999,Guinea
Benin,1993,0,0,5521763,N/A,N/A,1.460000038,Guinea
Benin,1994,0,0,5714220,N/A,N/A,1.370000005,Guinea
Benin,1995,0,0,5905558,N/A,N/A,1.269999981,Guinea
Benin,1996,0,0,6094259,54.5,1.05,1.179999948,Guinea
Benin,1997,0,0,6281639,61.3,N/A,1.080000043,Guinea
Benin,1998,0,0,6470265,61.7,0.74,1,Guinea
Benin,1999,0,0,6664098,60.6,N/A,0.920000017,Guinea
Benin,2000,0,0,6865951,61.5,0.8,0.839999974,Guinea
Benin,2001,0,0,7076733,60.1,N/A,0.75,Guinea
Benin,2002,0,0,7295394,57.3,0.82,0.689999998,Guinea
Benin,2003,0,0,7520555,54.9,0.68,0.730000019,Guinea
Benin,2004,0,0,7750004,54.6,0.27,0.769999981,Guinea
Benin,2005,0,0,7982225,52.3,0.45,0.800000012,Guinea
Benin,2006,0,0,8216897,54,0.55,0.810000002,Guinea
Benin,2007,0,0,8454793,55.1,0.39,0.819999993,Guinea
Benin,2008,0,0,8696921,55.2,0.37,0.850000024,Guinea
Benin,2009,0,0,8944708,55.4,0.4,0.970000029,Guinea
Benin,2010,0,0,9199259,55.4,0.26,1.039999962,Guinea
Benin,2011,0,0,9460830,56,0.32,2.650000095,Guinea
Benin,2012,0,0,9729248,55.7,0.36,2.650000095,Guinea
Benin,2013,0,0,10004588,57.6,0.3,2.660000086,Guinea
Benin,2014,0,0,10286842,57.1,0.03,2.609999895,Guinea
Benin,2015,0,0,10575952,58.8,-0.01,2.569999933,Guinea
Benin,2016,0,0,10872067,59.3,0,2.519999981,Guinea
Benin,2017,0,0,11175204,59.2,0.03,2.440000057,Guinea
Benin,2018,0,0,11485048,56.7,-0.13,2.369999886,Guinea
Benin,2019,0,0,11801151,55.3,-0.35,2.319999933,Guinea
Cameroon,1991,0,0,12137912,N/A,N/A,7.789999962,Guinea
Cameroon,1992,0,0,12499499,N/A,N/A,7.880000114,Guinea
Cameroon,1993,0,0,12864090,N/A,N/A,8.020000458,Guinea
Cameroon,1994,0,0,13230984,N/A,N/A,8.06000042,Guinea
Cameroon,1995,0,0,13599988,51.3,N/A,8.06000042,Guinea
Cameroon,1996,0,0,13970813,45.7,-0.96,8.06000042,Guinea
Cameroon,1997,0,0,14344449,44.6,N/A,7.929999828,Guinea
Cameroon,1998,0,0,14723768,48,-0.78,7.809999943,Guinea
Cameroon,1999,0,0,15112592,50.3,N/A,7.75,Guinea
Cameroon,2000,0,0,15513945,49.9,-0.56,7.599999905,Guinea
Cameroon,2001,0,0,15928910,53.3,N/A,7.460000038,Guinea
Cameroon,2002,0,0,16357602,52.8,-0.68,6.679999828,Guinea
Cameroon,2003,0,0,16800865,52.7,-0.43,5.900000095,Guinea
Cameroon,2004,0,0,17259322,52.3,-0.36,5.130000114,Guinea
Cameroon,2005,0,0,17733410,53,-0.18,4.400000095,Guinea
Cameroon,2006,0,0,18223674,54.6,-0.25,3.690000057,Guinea
Cameroon,2007,0,0,18730282,55.6,-0.33,3.059999943,Guinea
Cameroon,2008,0,0,19252666,54.3,-0.55,3.309999943,Guinea
Cameroon,2009,0,0,19789919,53,-0.47,3.769999981,Guinea
Cameroon,2010,0,0,20341241,52.3,-0.74,4.110000134,Guinea
Cameroon,2011,0,0,20906388,51.8,-0.66,3.970000029,Guinea
Cameroon,2012,0,0,21485266,51.8,-0.59,3.839999914,Guinea
Cameroon,2013,0,0,22077298,52.3,-0.53,3.710000038,Guinea
Cameroon,2014,0,0,22681858,52.6,-1.06,3.529999971,Guinea
Cameroon,2015,995,0.042706854,23298368,51.9,-0.99,3.50999999,Guinea
Cameroon,2016,221,0.009236605,23926539,54.2,-1.06,3.470000029,Guinea
Cameroon,2017,98,0.003989246,24566045,51.8,-1.1,3.410000086,Guinea
Cameroon,2018,751,0.029782398,25216237,51.9,-1.39,3.359999895,Guinea
Cameroon,2019,693,0.02678118,25876380,52.4,-1.56,3.319999933,Guinea
Democratic Republic of Congo,1991,0,0,35908244,N/A,N/A,19.59000015,Guinea
Democratic Republic of Congo,1992,0,0,37333914,N/A,N/A,19.71999931,Guinea
Democratic Republic of Congo,1993,0,0,38815834,N/A,N/A,19.93000031,Guinea
Democratic Republic of Congo,1994,0,0,40252975,N/A,N/A,20,Guinea
Democratic Republic of Congo,1995,0,0,41576234,41.4,N/A,19.98999977,Guinea
Democratic Republic of Congo,1996,1304,0.030497757,42757243,39.5,-2.68,19.98999977,Guinea
