anchorage,lat,lon,anchor_group
"FPSO ITAGUAI,BRA",-25.144871736422797,-42.94774371807128,0
"SANTOS BASIN,BRA",-25.178375476659248,-42.929549718754494,0
"SANTOS BASIN,BRA",-25.14809665694522,-42.894979865766174,0
"SANTOS BASIN,BRA",-25.16361844728414,-42.938446256455904,0
"SANTOS BASIN,BRA",-25.154346040876614,-42.9636655336436,0
"SANTOS BASIN,BRA",-25.14312850432371,-42.9777433297546,0
"RIO DE JANEIRO,BRA",-25.165028267002402,-42.91520933194453,0
"RIO DE JANEIRO,BRA",-25.18754879719904,-42.920468491168656,0
"BACIA DE SANTOS,BRA",-25.178461266112553,-42.910612605707456,0
"SANTOS BASIN,BRA",-25.221549447754395,-42.889584737486324,1
"FPSO MANGARATIBA,BRA",-25.20816121397791,-42.880775247997654,1
"SANTOS BASIN,BRA",-25.521005439092672,-42.86214226570116,2
"FPSO ANGRA DOS REIS,BRA",-25.54940499183367,-42.84237295990163,2
"SANTOS BASIN,BRA",-25.47895347919308,-42.80344916795803,3
"BACIA DE SANTOS,BRA",-25.47841413556873,-42.81646385153071,3
"SS83,BRA",-25.386339150200364,-42.7051453694953,4
"LULA FIELD,BRA",-25.39486709870727,-42.75819297465553,4
"FPSO MARICA,BRA",-25.45365413633046,-42.75454057570543,4
"FPSO PARATY,BRA",-25.3984443843467,-42.76398318580616,4
"SANTOS BASIN,BRA",-25.54007964859736,-42.74793977203771,4
"SANTOS BASIN,BRA",-25.378743743341055,-42.73071060906099,4
"SANTOS BASIN,BRA",-25.460633821187646,-42.721136140804546,4
"SANTOS BASIN,BRA",-25.494779613793124,-42.735516016088624,4
"SANTOS BASIN,BRA",-25.389067216505122,-42.729781195967355,4
"SANTOS BASIN,BRA",-25.468913064511824,-42.7489494123167,4
"SANTOS BASIN,BRA",-25.468181365982527,-42.7555204568712,4
"SANTOS BASIN,BRA",-25.448826010103005,-42.781634202269295,4
"SANTOS BASIN,BRA",-25.462756890479053,-42.73023896441592,4
"SANTOS BASIN,BRA",-25.37578293404135,-42.744265115404794,4
"RIO DE JANEIRO,BRA",-25.528321225619724,-42.747646400003234,4
"BACIA DE SANTOS,BRA",-25.557161154572427,-42.754046554479245,4
"BACIA DE SANTOS,BRA",-25.429820466500495,-42.76246841481494,4
"BACIA DE SANTOS,BRA",-25.566175148539223,-42.78462573976634,4
"SANTOS BASIN,BRA",-25.590336239401868,-42.89380668107768,5
"BACIA DE SANTOS,BRA",-25.60684702268936,-42.895725720495506,5
