Reference,SubReg,Aggressor,Victim,Descript,Desc1,Desc2,Desc3,Desc4,Desc5,Desc6,Date,Year,PolygonID,MRGID,GeoName,Pol_type,MRGID_Ter1,Territory1,MRGID_Sov1,Sovereign1,ISO_Ter1,MRGID_Ter2,Territory2,MRGID_Sov2,Sovereign2,ISO_Ter2,MRGID_Ter3,Territory3,MRGID_Sov3,Sovereign3,ISO_Ter3,x_1,y_1,Area_km2,MRGID_EEZ
2017-89,57,Pirates,Bulk Carrier,NA,"NIGERIA:On 30 March at 0800Z a bulk carrier was attacked in 04-01N 006-48E. Four persons in a small boat boarded the vessel as it approached the pilot station. Five crew members escaped after being kidnapped by the pirates.UPDATE:On 25 April, five",Filipino seafarers who were kidnapped by Nigerian pirates last month returned home and were reunited with their families in Manila. The seamen recounted that heavily armed Nigerian pirates stormed their cargo ship and abducted five Filipinos from the,"ship. The seamen said the rest of the crew hid and were spared by the pirates. According to the seamen, the pirates released the kidnapped victims after the shipping company negotiated with the pirates, presumably with ransom payments.",NA,NA,NA,2017-03-30,2017,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2017-103,73,Pirates,Vessel,NA,"PAPUA NEW GUINEA:In late March, a group of 13 persons, including two foreign missionaries, were robbed at knife point as they were travelling to Fergusson Island, Milne Bay province, in vicinity09-24S 150-40E, via motor boat. The pirates stole almost","everything from the group, except one mobile phone which was later used to call for help.",NA,NA,NA,NA,2017-03-30,2017,217,8324,Papua New Guinean Exclusive Economic Zone,200NM,2237,Papua New Guinea,2237,Papua New Guinea,PNG,0,NA,0,NA,NA,0,NA,0,NA,NA,150.717739785,-5.46159340329,2399610.72138,8324
2017-98,57,Pirates,Tanker,NA,"NIGERIA:On 29 March, armed pirates in a boat chased and fired upon a tanker underway near position 04-05N 004-42E, 64 nm southwest of the Bayelsa Coast. The onboard armed naval security team returned fire resulting in the pirates aborting the attack and",moving away. All crew are safe. The tanker continued her voyage to the next port.,NA,NA,NA,NA,2017-03-29,2017,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2017-87,57,Pirates,Product Tanker,NA,"NIGERIA:On 29 March at 1233Z in vicinity 04-00N 004-40E, an underway product tanker was attacked by pirates.",NA,NA,NA,NA,NA,2017-03-29,2017,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2017-88,57,Pirates,Vessel,NA,NIGERIA:On 29 March at 1305Z a vessel was attacked in 04-09.58N 004-37.18E.,NA,NA,NA,NA,NA,2017-03-29,2017,166,8474,Nigerian Exclusive Economic Zone,200NM,2253,Nigeria,2253,Nigeria,NGA,0,NA,0,NA,NA,0,NA,0,NA,NA,4.82278332072,4.08512461991,179050.962041,8474
2017-109,25,Robbers,Sailing Vessel,NA,"SAINT VINCENT AND THE GRENADINES:On 28 March, two robbers boarded a sailing yacht anchored in Charlestown Bay, vicinity12-42N 061-20W. The yacht owner succeeded in scaring away the robbers and nothing was stolen. Report made to local authorities.",NA,NA,NA,NA,NA,2017-03-28,2017,91,8421,Saint Vincent and the Grenadines Exclusive Economic Zone,200NM,8651,Saint Vincent and the Grenadines,8651,Saint Vincent and the Grenadines,VCT,0,NA,0,NA,NA,0,NA,0,NA,NA,-61.6944240413,13.1580517887,36243.1925939,8421
2017-90,24,Robbers,Tanker,NA,"COLOMBIA:On 28 March at 0845Z in 10-19.3N 075-32.1W, an anchored tanker was boarded by pirates. The alarm was raised and crew mustered. Seeing the alerted crew, the robbers escaped with stolen ship's property.",NA,NA,NA,NA,NA,2017-03-28,2017,128,8426,Colombian Exclusive Economic Zone,200NM,2175,Colombia,2175,Colombia,COL,0,NA,0,NA,NA,0,NA,0,NA,NA,-78.0622198147,8.60754392884,718163.16433,8426
2017-85,71,Sucpicious Approach,Tanker,NA,"INDONESIA:On 26 March at 1254Z, an underway tanker was approached by two speed boats with two persons in each boat. Vessel took evasive action, sounded the horn and directed signal lamp towards boats. At a distance of 15 meters from the tanker, the speed",boats aborted and moved away.,NA,NA,NA,NA,2017-03-26,2017,220,8492,Indonesian Exclusive Economic Zone,200NM,2127,Indonesia,2127,Indonesia,IDN,0,NA,0,NA,NA,0,NA,0,NA,NA,117.898147552,-3.30903479808,6025109.71458,8492
2017-101,71,Robbers,Product Tanker,NA,"INDONESIA:On 26 March, one robber attempted to board an anchored product tanker near position01-43N 101-26E, Lubuk Gaung Anchorage, Dumai. Alert crewman noticed the robber and raised the alarm. Seeing the crew's alertness, the robber escaped in a boat",with three accomplices. The robbers were apprehended by Indonesian Marine Police patrolling in the vicinity.,NA,NA,NA,NA,2017-03-26,2017,220,8492,Indonesian Exclusive Economic Zone,200NM,2127,Indonesia,2127,Indonesia,IDN,0,NA,0,NA,NA,0,NA,0,NA,NA,117.898147552,-3.30903479808,6025109.71458,8492
2017-97,25,Robbers,Sailing Vessel,NA,"SAINT VINCENT AND THE GRENADINES:On 26 March, a dinghy and small outboard motor were stolen from a yacht anchored in Saline Bay, in vicinity 12-38N 061-24W. Report made to local area authorities.",NA,NA,NA,NA,NA,2017-03-26,2017,91,8421,Saint Vincent and the Grenadines Exclusive Economic Zone,200NM,8651,Saint Vincent and the Grenadines,8651,Saint Vincent and the Grenadines,VCT,0,NA,0,NA,NA,0,NA,0,NA,NA,-61.6944240413,13.1580517887,36243.1925939,8421
