port
"0244JUNCT00000,SWE"
"0OO00,IRL"
"0RNES,NOR"
"A AREA L13,ESP"
"A B C,ISL"
"A B,NOR"
"A BALTIC,FRA"
"A BALTIC,GRC"
"A BALTIC,ITA"
"A CANAL,KOR"
"A CHINA,SWE"
"A CHINA,TWN"
"A CJK,KOR"
"A DAI SHAN,ESP"
"A DENMARK,NOR"
"A FRANCE,ESP"
"A GUO JU,FRA"
"A LA CAPA,MEX"
"A NOK,KOR"
"A NWWF,KOR"
"A O F F,AUS"
"A OFF,CAN"
"A OFF,FIN"
"A OFF,USA"
"A OH,SWE"
"A OWF,SWE"
"A RUPERT CANADA,GBR"
"A SHAN,CAN"
"A TAURO,NOR"
"A TIJDEN,SGP"
"A VIA SKAW,DNK"
"A WBGA,GEO"
"A WGQ2,GRC"
"A X H A B,USA"
"A ZHI HE PU,JPN"
"A0 G,TWN"
"A2 OFF,NOR"
"A5913043,SWE"
"A6 A,DEU"
"A6 ANCHORAGE,KOR"
"A679608 VHF 16,USA"
"A679659 VHF 16,USA"
"AA MEN,FRA"
"AA,AGO"
"AA,AUS"
"AA,CAN"
"AA,ESP"
"AA,GRC"
"AA,ITA"
"AA,JPN"
"AA,KOR"
"AA,SWE"
"AACH,PYF"
"AADEIRA,USA"
"AAHEIM,NOR"
"AAKOU,BHS"
"AAKOU,KOR"
"AALBAEK,DNK"
"AALBORG,DNK"
"AALESUND NOR,NOR"
"AALESUND,NOR"
"AALLORCA,TUR"
"AALVIK,NOR"
"AAN,AUS"
"AAN,NLD"
"AAN,PRT"
"AAN,SGP"
"AAN,TUR"
"AAN,USA"
"AANG DAI SHAN,DNK"
"AANG WA OFF,JPN"
"AANIA,KOR"
"AANTWERP,NOR"
"AARD VESSEL,FRA"
"AARDAL,NOR"
"AARHUS,DNK"
"AARSETHFJORDEN,NOR"
"AAS,ESP"
"AASIAAT,GRL"
"AB130,IND"
"ABA,SWE"
"ABACO,BHS"
"ABACOS,BHS"
"ABASHIRI KO,JPN"
"ABASTIAO,KOR"
"ABENRA,DNK"
"ABER WRACH,FRA"
"ABERDEEN,GBR"
"ABERDEEN,USA"
"ABERDOUR BAY,GBR"
"ABERTH21067,DNK"
"ABERYSTWYTH,GBR"
"ABIDJAN,CIV"
"ABKATUN A,MEX"
"ABKATUN ALPHA,MEX"
"ABKATUN PLATFORM,MEX"
"ABLES D OLONNE,NLD"
"ABO NIGERIA,NGA"
"ABOOZAR OILFIELD,IRN"
"ABRAM MYS,RUS"
"ABRDG100552,ESP"
"ABSF 10 15,SAU"
"ABSF 17 22,SAU"
"ABSF 30 35,SAU"
"ABSF 36 41,SAU"
"ABSF 51 57 61,SAU"
"ABSF,SAU"
"ABU ALI PIER,SAU"
"ABU ALI,SAU"
"ABU DABI,ARE"
"ABU DHABI,ARE"
"ABU GHUSUN,EGY"
"ABU QIR,EGY"
"ABU SAFAH,SAU"
"ABU ZABY,ARE"
"ABU,NOR"
"ABUDHABI,ARE"
"ABURG,GRC"
"ABURG,HRV"
"ABURG,TUR"
"AC GULF,SWE"
"AC LIGHTERING,AUS"
"AC LIGHTERING,SWE"
"AC,VEN"
"AC857,USA"
"ACAJUTLA OFFSHORE TERMINAL,SLV"
"ACAJUTLA,SLV"
"ACAPULCO DE JUAREZ,MEX"
"ACAPULCO,MEX"
