mmsi,from_port,to_port,departure_date,arrival_date,distance_km,hours,ais_pings
355541000,"JAKARTA,IDN","MANILA,PHL",2012-07-09,2012-07-30,6712.579765559195,235.39291666666665,301
354556000,"TEMA,GHA","ABIDJAN,CIV",2012-02-22,2012-02-26,548.4362080771581,91.2002777777778,58
538003252,"TEMA,GHA","ABIDJAN,CIV",2017-04-28,2017-04-29,540.2061811681247,19.95736111111111,130
636090967,"MANILA,PHL","JAKARTA,IDN",2012-01-29,2012-02-02,1283.8199020926113,45.70208333333334,20
636091184,"ABIDJAN,CIV","LUANDA,AGO",2012-05-11,2012-06-10,13112.019916995234,660.509027777778,462
636015612,"TEMA,GHA","ABIDJAN,CIV",2013-10-13,2013-10-16,133.90791325975863,61.5961111111111,69
209366000,"TEMA,GHA","ABIDJAN,CIV",2013-12-23,2013-12-24,469.897963447803,23.845694444444437,35
636011520,"ABIDJAN,CIV","TEMA,GHA",2014-07-28,2014-07-29,504.61918210872665,39.71680555555556,88
304513000,"LUANDA,AGO","TEMA,GHA",2017-01-16,2017-01-21,2164.6056881883906,106.56013888888889,415
566282000,"TEMA,GHA","ABIDJAN,CIV",2017-01-13,2017-01-14,543.537708738463,24.598472222222217,219
374294000,"ABIDJAN,CIV","TEMA,GHA",2017-11-12,2017-11-13,361.2511418153351,22.974861111111128,346
636014791,"JAKARTA,IDN","MANILA,PHL",2016-04-01,2016-04-09,2711.1618617838803,139.18444444444438,124
370095000,"TEMA,GHA","ABIDJAN,CIV",2012-06-17,2012-06-18,452.2342235540547,19.147777777777776,30
636014884,"TEMA,GHA","ABIDJAN,CIV",2014-06-15,2014-06-15,449.38074388154746,13.25986111111111,66
311691000,"MANILA,PHL","JAKARTA,IDN",2016-03-12,2016-03-21,4175.165127281187,214.25777777777782,458
636091958,"TEMA,GHA","ABIDJAN,CIV",2012-07-18,2012-07-20,526.4116612915813,35.61388888888889,27
370616000,"MANILA,PHL","JAKARTA,IDN",2012-04-23,2012-04-28,1896.745167703404,104.35222222222224,49
636014030,"JAKARTA,IDN","MANILA,PHL",2016-02-02,2016-02-08,1487.0768389346429,64.38333333333334,88
351698000,"TEMA,GHA","ABIDJAN,CIV",2012-01-08,2012-01-08,475.1905636329063,15.594444444444441,148
352231000,"TEMA,GHA","ABIDJAN,CIV",2014-11-18,2014-11-20,478.4966174934518,32.02777777777778,78
477996500,"ABIDJAN,CIV","TEMA,GHA",2017-03-31,2017-04-04,653.9496938034085,75.61541666666668,358
636016742,"TEMA,GHA","ABIDJAN,CIV",2017-04-08,2017-04-11,935.2974689138916,62.94097222222225,388
248572000,"TEMA,GHA","ABIDJAN,CIV",2014-05-05,2014-05-06,516.2241146731614,21.742083333333326,46
311054400,"LUANDA,AGO","TEMA,GHA",2014-08-23,2014-08-26,2120.552713438968,70.45430555555555,352
1,"JAKARTA,IDN","HONG KONG,HKG",2015-01-24,2015-01-24,1.5540220617414886,0.3079166666666666,3
