s2id,label,anchor_group,lat,lon
008fe79d,"BACIA DE SANTOS,BRA",9,-24.627788897231117,-42.248716619670354
00940fbb,"CAMPOS BASIN,BRA",11,-23.52137437157311,-41.0911683273952
00940e3b,"BACIA DE CAMPOS,BRA",11,-23.513130670160066,-41.06600606155707
00963087,"MACAE,BRA",18,-22.38483357514088,-41.76799793225014
00998253,"NITEROI,BRA",20,-22.867893836656677,-43.13820274124353
00998255,"NITEROI,BRA",20,-22.86578150315203,-43.138202628471625
00998307,"NITEROI,BRA",20,-22.863573276597307,-43.12949787959521
0099801d,"AI PATRA,BRA",20,-22.951790359132755,-43.1716911923205
00998139,"PARANAGUA,BRA",20,-22.932535872178317,-43.10803685829577
00998185,"RIO DE JANEIRO,BRA",20,-22.90728877650633,-43.1420076135575
00998225,"RIO DE JANEIRO,BRA",20,-22.889340571205032,-43.14825566510761
00997f47,"RIO DE JANEIRO,BRA",20,-22.89193944331958,-43.19291470848609
00997ed9,"RIO DE JANEIRO,BRA",20,-22.888001235663967,-43.21482515307247
009981d7,"RIO DE JANEIRO,BRA",20,-22.918492247878145,-43.17146127690331
00998193,"RIO DE JANEIRO,BRA",20,-22.907531690007367,-43.15327928067492
00997f51,"RIO DE JANEIRO,BRA",20,-22.894726374931224,-43.182463529444945
009982fb,"RIO DE JANEIRO,BRA",20,-22.8533181990366,-43.14324943543652
00998187,"RIO DE JANEIRO,BRA",20,-22.900604998666417,-43.143805040299526
00998023,"RIO DE JANEIRO,BRA",20,-22.945236364761158,-43.168018451703816
00998217,"RIO DE JANEIRO,BRA",20,-22.880365397535332,-43.15958771692101
009981ff,"RIO DE JANEIRO,BRA",20,-22.893119872718444,-43.172779509554374
00997f4f,"RIO DE JANEIRO,BRA",20,-22.893278330601696,-43.186605786875454
009982f7,"RIO DE JANEIRO,BRA",20,-22.855527053646227,-43.14799336625767
0099819d,"RIO DE JANEIRO,BRA",20,-22.911083095947966,-43.139139074761516
009981d9,"RIO DE JANEIRO,BRA",20,-22.916890316872824,-43.17069644106968
009982d9,"DTSE / GEGUA OIL TERMINAL,BRA",20,-22.836132987740335,-43.138261202741035
009982e1,"DTSE / GEGUA OIL TERMINAL,BRA",20,-22.845601341053918,-43.13832821752375
009982f1,"DTSE / GEGUA OIL TERMINAL,BRA",20,-22.851529185094478,-43.14801813953339
0099829f,"DTSE / GEGUA OIL TERMINAL,BRA",20,-22.832154165383773,-43.17181063086977
009982e3,"DTSE / GEGUA OIL TERMINAL,BRA",20,-22.85032627065624,-43.13835442122602
009a29db,"RIO DE JANEIRO,BRA",21,-23.006796263791387,-43.07000509363889
0099874b,"RIO DE JANEIRO,BRA",21,-22.97475592580063,-43.09426098898016
009a2b07,"RIO DE JANEIRO,BRA",22,-23.02273655661928,-43.138159500570026
009a2c0d,"RIO DE JANEIRO,BRA",22,-23.06830316387477,-43.114397293594365
009a2be5,"RIO DE JANEIRO,BRA",22,-23.052756021324566,-43.10503603190214
009a2bef,"RIO DE JANEIRO,BRA",22,-23.051120290462386,-43.10955515294758
009a2b5b,"RIO DE JANEIRO,BRA",22,-23.038084644985855,-43.16234327648356
009a2bbd,"RIO DE JANEIRO,BRA",22,-23.036642621272854,-43.12408520582473
009a2c73,"RIO DE JANEIRO,BRA",22,-23.066485485429475,-43.119249032542605
009a2ba9,"RIO DE JANEIRO,BRA",22,-23.024066701723388,-43.13368403089433
009b2ee5,"RIO DE JANEIRO,BRA",23,-24.042907492873397,-43.27987569953258
009b2efb,"BACIA DE SANTOS,BRA",23,-24.042470532323502,-43.28248295896937
009bf629,"ITAGUAI,BRA",24,-22.953503160580897,-43.789335070033324
