...1,id,reference,description,intern_A,intern_B,verdict
42,42,2012-293,"INDONESIA: Cargo ship boarded on 15 October at 01-06N 104-10E, near Kabil Citranusa Port, Batam. Three robbers boarded the vessel while at anchor. They were spotted by the alert duty crew, who raised the alarm. Upon sensing the crew's alertness, the robbers escaped empty-handed.",keep,exclude,
47,47,2013-135,"EQUADOR: On 5 May, the container ship CAP PORTLAND experienced an attempted boarding at  02-28S  080-04W, approximately 12.5nm north of Puna Island. Robbers attempted to board an underway container ship. Crew sounded the alarm, mustered, and subsequently  secured the vessel. Upon seeing crew actions, the robbers departed the area. Coastguard  responded by sending a vessel to the area. All crew was safe.",keep,exclude,
55,55,2013-142,"INDONESIA: On 29 April, the barge CREST 2821 was boarded at 01-13N 103-58E, approximately 3.2nm northwest of Pulau Batam. While in tow by the tug boat CREST GOLD 1, from Port Klang to Bintulu, Sarawak, Malaysia; the barge CREST 2821 was boarded and robbed. Some property onboard the barge was discovered missing later on the same day, when  the Master carried out checks on the barge. The robbers escaped with offshore installation parts, spare towing wire bridles, towing shackles, and delta plate.",exclude,keep,
68,68,2012-94,BAY OF BENGAL:  Robbers boarded a RO-RO ship while awaiting pilot. Duty watchman sighted the robbers and informed Master. Master raised alarm and reported to coast guard. Robbers noticed crew alertness and escaped with stolen stores. No casualties to crew.,exclude,keep,
74,74,2012-300,"INDONESIA: Container ship approached on 21 October at 03-47N 098-42E, at the Belawan International Container Terminal. Two robbers armed with long knives in a small boat approached the berthed vessel. Alert duty crew noticed one robber attempting to board the ship using a rope. The crew shouted at the robber, who aborted the boarding and escaped.",keep,exclude,
88,88,2013-146,"NIGERIA: On 14 May, the offshore diving support vessel SAINT PATRICK was boarded at 04-25N  007-28E, approximately 7.5 nm south-southwest of the Opobo river estuary. The offshore diving support vessel was reported as being boarded and attacked by pirates at approximately 02:00 LT. Both the SAINT PATRICK and LADY SWATHIN were attacked in the same area off Idoho field, approximately six hours apart.",keep,exclude,
118,118,2012-320,"TOGO: Cargo ship experienced a suspicious approach on 21 November at 06-03N 001-16E, at the Lome Anchorage. Six robbers in three unlit boats approached the anchored cargo ship twice in 30 minutes. The boats hid behind the bunker barge before approaching the vessel from the port and starboard sides. On both occasions, the boats were unsuccessful due to vigilance of the crew and the presence of security personnel. On reporting to Port Control, a Navy vessel was dispatched to investigate.",keep,exclude,
119,119,2012-321,"DOMINICAN REPUBLIC: Tanker boarded on 20 November at approximately 18-26N 069-18W, at the San Pedro de Macoris Port. Robbers boarded a berthed product tanker unnoticed. They stole ship's properties and escaped. The theft was noticed by crew doing routine ship search after departure.",exclude,keep,
122,122,2012-324,"PANAMA: Yacht boarded on 12 November at 08-39N 079-43W, in Punta Chame, approximately 20 nm southwest of the Balboa Anchorage. Four pirates in two skiffs pulled alongside the yacht and asked the occupants for drinking water. Once the occupants obliged and entered the cabin to retrieve the water, the pirates boarded the vessel armed with pistols and held the family of four hostage, while they ransacked the yacht for valuables. The ordeal lasted approximately 15 minutes, and then the pirates departed, leaving the occupants unharmed.",exclude,keep,
124,124,2013-155,"INDIAN OCEAN: On 7 May, a fishing vessel experienced a suspicious approach at 01-53N  051-13E, approximately 320 nm off the Somali coast. A Spanish fishing vessel observed a  skiff with six pirate¿s onboard approach another fishing vessel. A Spanish warship intervened and detained the suspect pirates. Suspected pirates could not explain why they had sailed so far from land. There was no evidence of trade or legal activity and the Spanish warship crew found equipment on board that is commonly related to piracy. There was insufficient evidence on this occasion to guarantee a legal prosecution; therefore, the decision was made to return the men to the Somali coast.",exclude,keep,
125,125,2013-156,"MALAYSIA: On 15 May, the underway barge in tow CREST 289 was boarded at 03-17N 103-48E, approximately 30nm northwest of Pulau Tioman. At the time, the tug boat TCL4401 was towing the barge from Singapore to Kuantan Port, Malaysia. The thieves stole 12 pieces of manhole covers and the stern light solar cell. The Master discovered the items missing  upon arrival at Kuantan Port. The crew was not injured.",exclude,keep,
131,131,2013-162,"BANGLADESH: On 23 May, the berthed product tanker GOLDEN ADVENTURE was boarded in the vicinity of 22-16N 091-48E, at the Chittagong port. During discharge operations at berth, the tanker was boarded by robbers armed with knives. They were noticed by the local watchman who immediately raised the alarm. The crew and watchman proceeded to the  location, armed with long sticks and metal pipes. Seeing the approaching crew, the robbers jumped overboard and tried to escape with a mooring line, which the crew successfully recovered. Port authorities informed.",keep,exclude,
133,133,2013-164,"YEMEN: On 20 May, the underway bulk carrier YONGXING experienced a suspicious approach by two skiffs at 13-11N 048-54E, approximately 65 nm south of Al Mukalla. The two yellow and blue skiffs with 12 individuals on board approached from the port side. When the  skiffs closed to 500 meters, the embarked AST fired 3 warning shots towards the skiffs. The skiffs immediately departed the area.",exclude,keep,
153,153,2012-332,"VIETNAM: Tanker hijacked on 19 November in the vicinity of 07-10N 109-09 E, approximately 174.4 nm southeast of Con Son Island, by eleven pirates armed with long knives and pistols. The nine crew members were forced overboard into a life raft and rescued shortly after by a Vietnamese fishing trawler. While enroute toward Vietnam, the vessel was apprehended by the Vietnam Marine Police Special Task Force and all eleven pirates were taken into custody. Prior to apprehension, it was reported that the pirates had changed the IMO number and name of the vessel.",exclude,keep,
162,162,2013-168,"INDONESIA: On 20 May, the berthed general cargo ship KOHINOOR was boarded at 03-47N 098-42E, at the Belawan Port. While at berth, an unknown number of robbers armed with knives boarded the ship. The duty crew noticed them stealing ship properties from the poop deck store. The robbers escaped after the crew was alerted and the alarm sounded.",keep,exclude,
166,166,2013-172,"NIGERIA: On 03 June, the Marshall Islands-flagged underway chemical tanker BLUEGREEN TIGRE was fired upon at 04-42N 008-19E approximately 2.5 nm north of James Town, in the Calabar River. Ten armed robbers in two speed boats approached and fired upon the chemical tanker underway with pilot on board. Master raised alarm, mustered all crew,  and reported the incident to the Nigerian Authorities. The armed robbers aborted the attack and moved away when the Nigerian Marine Police arrived on the scene. All crew are safe, but the ship sustained minor damage due to the firing.",keep,exclude,
173,173,2012-129,"MOZAMBIQUE: Chemical Tanker at berth was boarded on 29 March at 19:48 S-034:07 E, Jetty No.12, Beira Port.  Duty crewman noticed one robber armed with a knife aboard the vessel and raised the alarm. Upon hearing the alarm, the pirate escaped with stolen ship¿s stores with an accomplice piloting a waiting canoe.",exclude,keep,
185,185,2012-338,"INDONESIA: Bulk carrier boarded on 05 December at 03-47N 098-42E, at the Belawan Port. Four robbers boarded the bulk carrier alongside a berth during discharge operations. They broke into the deck store, stole ship's stores and escaped unnoticed. The theft was noticed during the next watch change and was reported to the local agent and the port authorities.",keep,exclude,
201,201,2013-181,"INDIAN OCEAN: On 05 June, the Panama-flagged underway oil tanker TAIZAN experienced a suspicious approach at 17-12N 066-47E, approximately 291 nm southwest of Mumbai, India. A boat approached the vessel closing to 1.5 nm. TAIZAN attempted to increase speed, but only up to 13.8 kts due to prevailing swells. Master ordered two parachute signals fired against the boat, then an additional four parachute signals as the boat continued to approach. Finally the boat gave up further approach.",exclude,keep,
202,202,2013-182,"MOZAMBIQUE: On 01 June, the berthed Hong Kong-flagged chemical tanker ESHIPS LIWA was boarded at 19-49S 034-50E, at the Beira Port. Two robbers armed with long knives boarded the tanker at berth during cargo operations using the forward fire wire. Alert shore and deck watchmen and agents noticed them and raised the alarm resulting in the robber escaping via the anchor chain. There were no vessel or crew properties stolen. Port authorities  and local police were notified.",keep,exclude,
225,225,2012-354,"OMAN: Merchant vessel experienced suspicious approach at 0535 UTC on 27 December near position 26-17N 056-43E in the Gulf of Oman, approximately 22 nm east of Al Kasab, Oman. The activity consisted of two skiffs, one of which approached the vessel to within 500 meters, with possible weapons sighted. Vessel's armed embarked security team fired flares and the skiff moved away. The second skiff approached to within 200 meters. Embarked security team again fired a warning flare but there was no response from the second skiff. Vessel security team then fired two warning shots to the side of the second skiff. Both skiffs then broke off the approach and departed the area.",exclude,keep,
229,229,2013-3,"INDIAN OCEAN: On 1 January, a merchant vessel experienced suspicious approach near 02-18N 046-02E, approximately 42 nm northeast of Mogadishu and approximately 7 nm off the Somali coast. The activity consisted of four skiffs. Few other details have been released and the incident is being investigated further.",keep,exclude,
234,234,2013-8,"SOMALIA: On 11 November 2012, a general cargo ship was detained by Somali authorities and ordered to anchor off Bossaso. Eight Puntland Maritime Police Force (PMPF) personnel (four policemen and four soldiers) were detailed to guard the ship. The four soldiers took over the ship and forced the Master to sail to another port. It is suspected that the soldiers were paid by pirates to hijack the ship. While enroute, one of the soldiers rejoined the four policemen, gained control of the vessel and sailed back to Bossaso. The vessel arrived and berthed at Bossaso Port on 20 December, where the PMPF personnel were replaced.",exclude,keep,
241,241,2013-197,"YEMEN: On 14 June, the underway Malta-flagged tanker experienced a suspicious approach at 12-36N 043-25E, approximately 2 nm southwest of Birim Island. A single skiff paralleled the tanker's course, and then moved toward the vessel at high speed, approaching within 500 meters. The AST displayed their weapons, resulting in the skiff moving away.",exclude,keep,
245,245,2013-201,INDIAN OCEAN: The owners of fishing vessel CHUN YING reported that they lost contact with their vessel since 20 JUNE 2013 at 0110 LT while the vessel in position 00-34N 054-48E. The vessel's satellite phones and tracking system are turned off.  There are 28 crew members and 3 guards onboard.  The vessel is missing in the HRA for pirate activities.  The fate of the crew and vessel is unknown.,exclude,keep,
248,248,2012-155,TOGO: The missing/hijacked tanker BW Rhine was last reported in posn lat 05:27N - long 002:36E on 03.05.2012 at 0840 UTC.,keep,exclude,
250,250,2012-157,INDIAN OCEAN: M/V suspicious approach in vicinity 04 49N 054 47E at 241949 UTC Apr 12.  Vessels are advised to keep well clear of this position and to exercise extreme caution if in vicinity.,keep,exclude,
261,261,2013-9,"GUYANA: On 09 January, LPG Tanker CONISTON boarded in the vicinity of Guyana. Two robbers armed with guns and long knives boarded the berthed vessel from the offshore side using a grappling hook. They took the First Officer and a shore security guard as hostages, proceeded to the Master's cabin, stole ship's cash and escaped. No injury to crew.",keep,exclude,
265,265,2013-13,"INDONESIA: On 04 January, chemical tanker HISTRIA PRINCE boarded at 01-16S 116-49E, at the Balikpapan Port Jetty No. 5C. Four robbers approached the vessel at berth while engaged in loading operations. One of the robbers boarded by climbing the forward fire wire, stole ship's properties and escaped. The incident was reported to the local agent and the port authorities.",keep,exclude,
271,271,2013-19,"PERU: On 23 January, a tanker was boarded in the vicinity of 04-34S 081-16W, at the MBM Terminal, Talara Port. Robbers boarded the berthed vessel and escaped with ship's stores  unnoticed. Upon investigation, it was found the robbers boarded via the hawse pipe by  dismantling the anchor chain metal guard and then forced their way into the forecastle store by breaking the watertight door padlock hinge. Incident reported to the authorities.",keep,exclude,
273,273,2013-204,"IRAN: On 17 June, an underway vessel experienced a suspicious approach at 25-33N 057-23E, approximately 21 nm southwest of Bandar-e-Jask. Vessel reported being approached  by two skiffs, coming within 20-30 meters of the vessels stern. No pirate paraphernalia was sighted, but the skiffs followed the vessel for 15-20 minutes.",keep,exclude,
278,278,2013-208,"RED SEA: On 8 July, an underway bulk carrier experienced a suspicious approach at 13-10N 043-06E, approximately 11 nm southwest of Mocha, Yemen. Armed security team on  board the underway bulk carrier noticed two skiffs near the stern of the vessel, at a distance of 5-10 meters. Alarm sounded and the armed team fired warning shots, resulting in the skiffs moving away.",keep,exclude,
283,283,2012-171,"EGYPT: Product tanker was boarded on 14 May while anchored at 29:50 N - 032:31 E, Port Suez Anchorage, Egypt. Pirates boarded an anchored product tanker unnoticed, stole ship  stores and escaped unnoticed. The theft occurred during a sandstorm when the duty crewman was called into the accommodation. Port control was informed.",exclude,keep,
290,290,2012-176,"OMAN: A merchant vessel reported being fired upon at 0505Z on 06 Mar 2012 in position 1421N 05236E, approximately 212NM Southwest of Salala, Oman.",exclude,keep,
297,297,2013-21,"IVORY COAST: On 16 January, the tanker ITRI was hijacked at 03-27N 001-06W, at the Abidjan anchorage. Pirates boarded and hijacked the vessel while it was preparing to offload jet fuel at the port. The crew of 16 were held hostage and locked in a dining room while the hijackers siphoned off 5,000 tons of cargo. All crew members and the tanker were released unharmed on 22 January. After release, the vessel proceeded to Lagos port.",keep,exclude,
307,307,2013-31,"MAURITANIA: On 31 January, a refrigerated cargo ship was boarded at 20-53N 016-59W, at the Nouadhibou Port. Two robbers armed with knives boarded the anchored vessel, while six more robbers waited in their boat. Alert duty crewman spotted the robbers and raised the alarm. On hearing the alarm, the robbers jumped overboard and escaped empty-handed. Port Control contacted, but no response received.",exclude,keep,
311,311,2013-216,"NIGERIA: On 10 July, an anchored chemical tanker experienced a suspicious approach at  06-17N 003-21E, approximately 5.4nm southwest of Fairway Buoy, Lagos Anchorage.  Armed security personal onboard the anchored chemical tanker noticed a small boat with an unknown number of persons approaching. When the small boat got to within 50 meters of the vessel, the armed security team fired one warning shot causing the boat to depart the area.",exclude,keep,
313,313,2013-218,"NIGERIA: On 5 July, an anchored bulk carrier was boarded at 06-26N 003-23E, on Lagos Port Road. Three armed men were reported to have separated part of the razor wire and gained access via a rope. The bosun spotted them and alerted the duty officer by radio. The  bosun was subsequently wounded by the gunmen before other crew came to assist. The robbers escaped via speedboat. The injured crew member was hospitalized.",keep,exclude,
319,319,2013-224,"LIBYA: On 19 July, approximately twelve armed Libyan men boarded and hijacked a berthed Ro-ro vessel was hijacked at the Bengazi Port. The hijackers are holding the 19 Ukranian crew members as hostages, with demands that a ransom of $9.5 million be paid by the  ship's owner.",exclude,keep,
323,323,2012-183,ECUADOR: Four robbers armed with knives boarded a berthed container ship during formality inspection by the immigration and customs department.  Duty bosun noticed the robbers boarding the vessel from seaward side using ropes and hooks.  One of the robbers was proceeding aft towards the accommodation.  Bosun reported to master and chief officer via the walkie talkie and alarm raised.  On seeing the alert crew the robber on deck ran towards the bosun waving his knife.  All the four robbers jumped overboard and escaped with their three accomplices waiting in the boat.  Port authority informed and a coast guard boat was dispatched to search the area.,exclude,keep,
325,325,2012-185,"ALGERIA: Bulk carrier was boarded while on 29 May at berth at Port of Alger, Algeria.The duty crew at the aft mooring deck onboard a berthed bulk carrier noticed two robbers trying to open the port life raft.  He reported to the Duty Officer who raised the alarm and had the crew  mustered.  Upon seeing the alert crew, the robbers dropped the life raft into the water, jumped overboard and escaped empty handed.  The crew managed to recover the life raft and brought it back onboard the ship. Port control was later informed.",exclude,keep,
326,326,2012-186,"KENYA: Chemical tanker was boarded on 24 May while berthed at 04:02 S - 039:38 E, Berth No. 8, Mombasa Port.  A robber armed with a knife boarded a chemical tanker at berth during cargo operations.  The robber attacked the duty officer on deck rounds, injured him, stole  his personal belongings and escaped. The Master reported the incident to the port police and agent who boarded the vessel for investigation.",keep,exclude,
337,337,2013-37,"NIGERIA: On 06 February, a tug towing a barge was fired upon in vicinity of 05-10N 006-12E, along the River Forcados at the Angiama Community area of Bayelsa. Pirates ambushed the tug and barge, which was being escorted by a military vessel while transiting from Warri to Port Harcourt. Four persons, including two soldiers, a retired naval officer, and the pilot of the tug were killed during the gunfire exchange.Two additional soldiers sustained serious injuries. Three pirates were seriously wounded and reportedly died soon after escaping. The reason for the attack is unsure, as neither the tug nor barge were carrying cargo.",keep,exclude,
343,343,2013-43,"NIGERIA: On 17 February, the bulk carrier AFRICAN JOY was boarded at 06-27N 003-23E at Berth No.2, Apapa, Lagos. Robbers in a wooden boat approached the berthed vessel. One robber boarded the ship, broke into the forward store, and stole ship's stores, including four drums of paint. Duty crew noticed the robber and raised the alarm. The robber escaped with the stolen stores.",keep,exclude,
348,348,2013-229,"VIETNAM: On 21 July, the Singapore-flagged berthed product tanker KIRANA TRITYA was boarded at the Nha Be Terminal. Five robbers in a small boat approached the berthed product tanker. Two robbers armed with knives managed to board the tanker using a rope while  the remaining robbers remained in their boat. The duty able bodied seaman, on deck watch, noticed the robbers and informed the duty officer who raised the alarm. Crew mustered and approached the robbers with wooden sticks. Upon seeing the crew alertness, the robbers jumped overboard and escaped empty handed.",exclude,keep,
368,368,2013-46,"INDONESIA: On 20 February, a bulk carrier was boarded at 07-09S 112-40E in the vicinity of Gresik, Surabaya. While under pilotage and awaiting berthing, the vessel was boarded by robbers, who stole ship's stores and escaped unnoticed. Incident reported to pilot onboard, who reported it to Port Control.",keep,exclude,
378,378,2013-56,"NIGERIA: On 25 February, a passenger boat was boarded and personnel kidnapped at 04-37N 008-22E, in the Ibaka Channel, Calabar River. The vessel was attacked and boarded by approximately 20 armed pirates in two speedboats. The pirates were reported to have kidnapped one person. The vessel continued to port.",exclude,keep,
