year,lon_bin,lat_bin,number_attacks,grid_id
2009,-85,-5,1,1
2009,-85,5,1,2
2009,-85,10,2,3
2009,-85,15,1,4
2009,-80,-15,11,5
2009,-80,-10,1,6
2009,-80,-5,1,7
2009,-80,0,3,8
2009,-80,10,3,9
2009,-75,15,6,10
2009,-65,10,7,11
2009,-65,15,2,12
2009,-60,5,1,13
2009,-50,-5,1,14
2009,-40,-15,1,15
2009,-40,-5,1,16
2009,-25,20,1,17
2009,-20,10,1,18
2009,-15,5,5,19
2009,-10,45,1,20
2009,-5,5,3,21
2009,0,5,24,22
2009,5,0,23,23
2009,5,5,4,24
2009,10,-10,2,25
2009,10,40,1,26
2009,35,-10,7,27
2009,40,-15,1,28
2009,40,-10,1,29
2009,40,-5,6,30
2009,40,0,1,31
2009,40,10,24,32
2009,40,15,2,33
2009,45,-10,13,34
2009,45,-5,16,35
2009,45,0,4,36
2009,45,5,1,37
2009,45,10,85,38
2009,50,-10,6,39
2009,50,-5,9,40
2009,50,0,15,41
2009,50,5,4,42
2009,50,10,34,43
2009,55,-10,1,44
2009,55,-5,12,45
2009,55,0,1,46
2009,55,5,10,47
2009,55,10,9,48
2009,55,15,2,49
2009,55,20,1,50
2009,55,25,1,51
2009,60,-5,9,52
2009,60,0,3,53
2009,60,5,2,54
2009,60,10,5,55
2009,65,5,2,56
2009,65,15,3,57
2009,70,20,2,58
2009,75,5,2,59
2009,75,10,1,60
2009,75,65,1,61
2009,80,10,1,62
2009,80,15,1,63
2009,85,20,1,64
2009,90,20,19,65
2009,95,0,3,66
2009,95,5,3,67
2009,95,15,1,68
2009,100,0,17,69
2009,105,-10,7,70
2009,105,0,11,71
2009,105,5,1,72
2009,105,10,6,73
2009,105,20,1,74
2009,110,0,1,75
2009,110,5,1,76
2009,110,20,1,77
2009,115,-5,2,78
2009,115,0,1,79
2009,115,5,3,80
2009,120,-10,1,81
2009,120,5,1,82
2009,120,10,3,83
2009,130,-5,1,84
2010,-85,-5,1,1
2010,-80,-15,10,5
2010,-80,-5,1,7
2010,-80,0,1,8
2010,-80,10,1,9
2010,-75,10,2,85
2010,-75,15,4,10
2010,-65,10,5,11
2010,-60,5,1,13
2010,-50,-5,5,14
2010,-25,15,1,86
2010,-15,5,6,19
2010,-5,5,3,21
2010,0,5,10,22
2010,5,0,11,23
2010,10,-10,3,25
2010,30,30,2,87
2010,35,-20,2,88
2010,35,-10,6,27
2010,35,-5,5,89
2010,40,-15,1,28
2010,40,-10,27,29
2010,40,-5,14,30
2010,40,10,32,32
2010,40,15,5,33
2010,45,-15,2,90
2010,45,-10,1,34
2010,45,-5,11,35
2010,45,0,5,36
2010,45,5,2,37
2010,45,10,47,38
2010,45,25,2,91
2010,50,-15,3,92
2010,50,-10,5,39
2010,50,-5,7,40
2010,50,0,13,41
2010,50,5,3,42
2010,50,10,10,43
2010,50,15,1,93
2010,55,-20,1,94
2010,55,-5,5,45
2010,55,0,7,46
2010,55,5,2,47
2010,55,10,19,48
2010,55,15,17,49
2010,55,20,1,50
2010,60,-5,4,52
2010,60,0,2,53
2010,60,5,6,54
2010,60,10,13,55
2010,60,15,10,95
2010,60,20,5,96
2010,65,-5,1,97
2010,65,0,10,98
2010,65,5,16,56
2010,65,10,15,99
2010,65,15,13,57
2010,70,-5,1,100
2010,70,5,3,101
2010,80,15,4,63
2010,90,20,21,65
2010,95,0,3,66
2010,100,-5,2,102
2010,100,0,26,69
2010,100,10,1,103
2010,105,-10,5,70
2010,105,-5,1,104
2010,105,0,34,71
2010,105,5,2,72
2010,105,10,8,73
2010,105,20,2,74
2010,110,-10,1,105
2010,110,-5,1,106
2010,110,5,1,76
2010,115,-5,5,78
2010,120,0,1,107
2010,120,10,3,83
2010,120,35,1,108
2010,130,0,1,109
2011,-85,-5,2,1
2011,-85,5,2,2
2011,-80,-15,2,5
2011,-80,-5,4,7
2011,-80,0,2,8
2011,-80,10,3,9
2011,-75,15,1,10
2011,-65,10,4,11
2011,-60,5,2,13
2011,-50,-5,2,14
