date,fuel_index,price_usd_mt
2012-01-01,BIX 380 CST,683.71
2012-01-02,BIX 380 CST,683.71
2012-01-03,BIX 380 CST,683.71
2012-01-04,BIX 380 CST,699.97
2012-01-05,BIX 380 CST,705.23
2012-01-06,BIX 380 CST,708.71
2012-01-07,BIX 380 CST,708.71
2012-01-08,BIX 380 CST,708.71
2012-01-09,BIX 380 CST,709.22
2012-01-10,BIX 380 CST,711.41
2012-01-11,BIX 380 CST,716.88
2012-01-12,BIX 380 CST,716.87
2012-01-13,BIX 380 CST,713.35
2012-01-14,BIX 380 CST,713.35
2012-01-15,BIX 380 CST,713.35
2012-01-16,BIX 380 CST,712.45
2012-01-17,BIX 380 CST,715.15
2012-01-18,BIX 380 CST,715
2012-01-19,BIX 380 CST,714.9
2012-01-20,BIX 380 CST,714.73
2012-01-21,BIX 380 CST,714.73
2012-01-22,BIX 380 CST,714.73
2012-01-23,BIX 380 CST,711.25
2012-01-24,BIX 380 CST,711.73
2012-01-25,BIX 380 CST,712.49
2012-01-26,BIX 380 CST,714.98
2012-01-27,BIX 380 CST,714.98
2012-01-28,BIX 380 CST,714.98
2012-01-29,BIX 380 CST,714.98
2012-01-30,BIX 380 CST,714.16
2012-01-31,BIX 380 CST,714.75
2012-02-01,BIX 380 CST,716.23
2012-02-02,BIX 380 CST,718.33
2012-02-03,BIX 380 CST,716.9
2012-02-04,BIX 380 CST,716.9
2012-02-05,BIX 380 CST,716.9
2012-02-06,BIX 380 CST,720.12
2012-02-07,BIX 380 CST,726.56
2012-02-08,BIX 380 CST,729.59
2012-02-09,BIX 380 CST,733.02
2012-02-10,BIX 380 CST,735.58
2012-02-11,BIX 380 CST,735.58
2012-02-12,BIX 380 CST,735.58
2012-02-13,BIX 380 CST,735.24
2012-02-14,BIX 380 CST,734.46
2012-02-15,BIX 380 CST,735.62
2012-02-16,BIX 380 CST,736.4
2012-02-17,BIX 380 CST,738.57
2012-02-18,BIX 380 CST,738.57
2012-02-19,BIX 380 CST,738.57
2012-02-20,BIX 380 CST,737.97
2012-02-21,BIX 380 CST,737.97
2012-02-22,BIX 380 CST,737.97
2012-02-23,BIX 380 CST,748.46
2012-02-24,BIX 380 CST,748.76
2012-02-25,BIX 380 CST,748.76
2012-02-26,BIX 380 CST,748.76
2012-02-27,BIX 380 CST,749.58
2012-02-28,BIX 380 CST,748.32
2012-02-29,BIX 380 CST,745.84
2012-03-01,BIX 380 CST,745.32
2012-03-02,BIX 380 CST,757.63
2012-03-03,BIX 380 CST,757.63
2012-03-04,BIX 380 CST,757.63
2012-03-05,BIX 380 CST,756.21
2012-03-06,BIX 380 CST,756.41
2012-03-07,BIX 380 CST,755.69
2012-03-08,BIX 380 CST,755.39
2012-03-09,BIX 380 CST,756.17
2012-03-10,BIX 380 CST,756.17
2012-03-11,BIX 380 CST,756.17
2012-03-12,BIX 380 CST,755.8
2012-03-13,BIX 380 CST,756.71
2012-03-14,BIX 380 CST,759.61
2012-03-15,BIX 380 CST,759.61
2012-03-16,BIX 380 CST,751.53
2012-03-17,BIX 380 CST,751.53
2012-03-18,BIX 380 CST,751.53
2012-03-19,BIX 380 CST,755.7
2012-03-20,BIX 380 CST,755.75
2012-03-21,BIX 380 CST,752.35
2012-03-22,BIX 380 CST,749.99
2012-03-23,BIX 380 CST,748.57
2012-03-24,BIX 380 CST,748.57
2012-03-25,BIX 380 CST,748.57
2012-03-26,BIX 380 CST,751.23
2012-03-27,BIX 380 CST,752.24
2012-03-28,BIX 380 CST,753.47
2012-03-29,BIX 380 CST,752.9
2012-03-30,BIX 380 CST,751.32
2012-03-31,BIX 380 CST,751.32
2012-04-01,BIX 380 CST,751.32
2012-04-02,BIX 380 CST,751.9
2012-04-03,BIX 380 CST,753.03
2012-04-04,BIX 380 CST,751.77
2012-04-05,BIX 380 CST,748.26
2012-04-06,BIX 380 CST,748.26
2012-04-07,BIX 380 CST,748.26
2012-04-08,BIX 380 CST,748.26
2012-04-09,BIX 380 CST,748.26
2012-04-10,BIX 380 CST,744.19
2012-04-11,BIX 380 CST,742.42
2012-04-12,BIX 380 CST,742.54
2012-04-13,BIX 380 CST,743.05
2012-04-14,BIX 380 CST,743.05
2012-04-15,BIX 380 CST,743.05
2012-04-16,BIX 380 CST,740.84
2012-04-17,BIX 380 CST,739.88
2012-04-18,BIX 380 CST,738.77
2012-04-19,BIX 380 CST,736.06
2012-04-20,BIX 380 CST,733.41
2012-04-21,BIX 380 CST,733.41
2012-04-22,BIX 380 CST,733.41
2012-04-23,BIX 380 CST,733.01
2012-04-24,BIX 380 CST,732.21
2012-04-25,BIX 380 CST,734.93
2012-04-26,BIX 380 CST,734.71
2012-04-27,BIX 380 CST,737.59
2012-04-28,BIX 380 CST,737.59
2012-04-29,BIX 380 CST,737.59
2012-04-30,BIX 380 CST,737.47
2012-05-01,BIX 380 CST,737.47
2012-05-02,BIX 380 CST,737.77
2012-05-03,BIX 380 CST,735.52
2012-05-04,BIX 380 CST,731.31
2012-05-05,BIX 380 CST,731.31
2012-05-06,BIX 380 CST,731.31
2012-05-07,BIX 380 CST,731.31
2012-05-08,BIX 380 CST,714.06
2012-05-09,BIX 380 CST,711.69
2012-05-10,BIX 380 CST,710.35
2012-05-11,BIX 380 CST,707.96
2012-05-12,BIX 380 CST,707.96
2012-05-13,BIX 380 CST,707.96
2012-05-14,BIX 380 CST,697.42
2012-05-15,BIX 380 CST,695.81
2012-05-16,BIX 380 CST,693.09
2012-05-17,BIX 380 CST,691.34
2012-05-18,BIX 380 CST,686.35
2012-05-19,BIX 380 CST,686.35
2012-05-20,BIX 380 CST,686.35
2012-05-21,BIX 380 CST,679.91
2012-05-22,BIX 380 CST,680.49
2012-05-23,BIX 380 CST,678.03
2012-05-24,BIX 380 CST,674.28
2012-05-25,BIX 380 CST,676.5
2012-05-26,BIX 380 CST,676.5
2012-05-27,BIX 380 CST,676.5
2012-05-28,BIX 380 CST,675.9
2012-05-29,BIX 380 CST,675.36
2012-05-30,BIX 380 CST,671.02
2012-05-31,BIX 380 CST,664.14
2012-06-01,BIX 380 CST,656.62
2012-06-02,BIX 380 CST,656.62
2012-06-03,BIX 380 CST,656.62
2012-06-04,BIX 380 CST,656.62
2012-06-05,BIX 380 CST,641.5
2012-06-06,BIX 380 CST,637.03
2012-06-07,BIX 380 CST,636.19
2012-06-08,BIX 380 CST,632.65
2012-06-09,BIX 380 CST,632.65
2012-06-10,BIX 380 CST,632.65
2012-06-11,BIX 380 CST,631.64
2012-06-12,BIX 380 CST,630.2
2012-06-13,BIX 380 CST,629.3
2012-06-14,BIX 380 CST,628.8
2012-06-15,BIX 380 CST,630.24
2012-06-16,BIX 380 CST,630.24
2012-06-17,BIX 380 CST,630.24
2012-06-18,BIX 380 CST,629.76
2012-06-19,BIX 380 CST,623.93
2012-06-20,BIX 380 CST,622.54
2012-06-21,BIX 380 CST,617.13
2012-06-22,BIX 380 CST,606.2
2012-06-23,BIX 380 CST,606.2
2012-06-24,BIX 380 CST,606.2
2012-06-25,BIX 380 CST,603.68
2012-06-26,BIX 380 CST,601.76
2012-06-27,BIX 380 CST,601.6
2012-06-28,BIX 380 CST,602.59
2012-06-29,BIX 380 CST,602.49
2012-06-30,BIX 380 CST,602.49
2012-07-01,BIX 380 CST,602.49
2012-07-02,BIX 380 CST,609.68
2012-07-03,BIX 380 CST,613.62
2012-07-04,BIX 380 CST,622.14
2012-07-05,BIX 380 CST,624.99
2012-07-06,BIX 380 CST,626.24
2012-07-07,BIX 380 CST,626.24
2012-07-08,BIX 380 CST,626.24
2012-07-09,BIX 380 CST,621.99
2012-07-10,BIX 380 CST,620.1
2012-07-11,BIX 380 CST,620.45
2012-07-12,BIX 380 CST,621.52
2012-07-13,BIX 380 CST,622.08
2012-07-14,BIX 380 CST,622.08
2012-07-15,BIX 380 CST,622.08
2012-07-16,BIX 380 CST,624.35
2012-07-17,BIX 380 CST,632.58
2012-07-18,BIX 380 CST,637.34
2012-07-19,BIX 380 CST,644.76
2012-07-20,BIX 380 CST,651.48
2012-07-21,BIX 380 CST,651.48
2012-07-22,BIX 380 CST,651.48
2012-07-23,BIX 380 CST,648.26
2012-07-24,BIX 380 CST,640.06
2012-07-25,BIX 380 CST,639.19
2012-07-26,BIX 380 CST,641.28
2012-07-27,BIX 380 CST,644.21
2012-07-28,BIX 380 CST,644.21
2012-07-29,BIX 380 CST,644.21
2012-07-30,BIX 380 CST,648.96
2012-07-31,BIX 380 CST,648.3
2012-08-01,BIX 380 CST,647.75
2012-08-02,BIX 380 CST,646.43
2012-08-03,BIX 380 CST,646.05
2012-08-04,BIX 380 CST,646.05
2012-08-05,BIX 380 CST,646.05
2012-08-06,BIX 380 CST,650.84
2012-08-07,BIX 380 CST,652.9
2012-08-08,BIX 380 CST,661.47
2012-08-09,BIX 380 CST,665.3
2012-08-10,BIX 380 CST,668.92
2012-08-11,BIX 380 CST,668.92
2012-08-12,BIX 380 CST,668.92
2012-08-13,BIX 380 CST,669.89
2012-08-14,BIX 380 CST,673.19
2012-08-15,BIX 380 CST,675.54
2012-08-16,BIX 380 CST,684.05
2012-08-17,BIX 380 CST,686.31
2012-08-18,BIX 380 CST,686.31
2012-08-19,BIX 380 CST,686.31
2012-08-20,BIX 380 CST,686.68
2012-08-21,BIX 380 CST,687.31
2012-08-22,BIX 380 CST,690.75
2012-08-23,BIX 380 CST,693.64
2012-08-24,BIX 380 CST,693.65
2012-08-25,BIX 380 CST,693.65
2012-08-26,BIX 380 CST,693.65
2012-08-27,BIX 380 CST,693.65
2012-08-28,BIX 380 CST,691.52
2012-08-29,BIX 380 CST,688.78
2012-08-30,BIX 380 CST,688.38
2012-08-31,BIX 380 CST,688.27
2012-09-01,BIX 380 CST,688.27
2012-09-02,BIX 380 CST,688.27
2012-09-03,BIX 380 CST,692.13
2012-09-04,BIX 380 CST,695.85
2012-09-05,BIX 380 CST,691.38
2012-09-06,BIX 380 CST,692.46
2012-09-07,BIX 380 CST,694.12
2012-09-08,BIX 380 CST,694.12
2012-09-09,BIX 380 CST,694.12
2012-09-10,BIX 380 CST,694.01
2012-09-11,BIX 380 CST,697.53
2012-09-12,BIX 380 CST,699.53
2012-09-13,BIX 380 CST,700.7
2012-09-14,BIX 380 CST,704.79
2012-09-15,BIX 380 CST,704.79
2012-09-16,BIX 380 CST,704.79
2012-09-17,BIX 380 CST,706.5
2012-09-18,BIX 380 CST,701.76
2012-09-19,BIX 380 CST,694.84
2012-09-20,BIX 380 CST,680.25
2012-09-21,BIX 380 CST,681.23
2012-09-22,BIX 380 CST,681.23
2012-09-23,BIX 380 CST,681.23
2012-09-24,BIX 380 CST,683.56
2012-09-25,BIX 380 CST,681.01
2012-09-26,BIX 380 CST,680.75
2012-09-27,BIX 380 CST,677.61
2012-09-28,BIX 380 CST,681.22
2012-09-29,BIX 380 CST,681.22
2012-09-30,BIX 380 CST,681.22
2012-10-01,BIX 380 CST,682.78
2012-10-02,BIX 380 CST,681.84
2012-10-03,BIX 380 CST,679.04
2012-10-04,BIX 380 CST,671.31
2012-10-05,BIX 380 CST,674.38
2012-10-06,BIX 380 CST,674.38
2012-10-07,BIX 380 CST,674.38
2012-10-08,BIX 380 CST,668.76
2012-10-09,BIX 380 CST,666.2
2012-10-10,BIX 380 CST,673.51
2012-10-11,BIX 380 CST,675.73
2012-10-12,BIX 380 CST,675.3
2012-10-13,BIX 380 CST,675.3
2012-10-14,BIX 380 CST,675.3
2012-10-15,BIX 380 CST,673.09
2012-10-16,BIX 380 CST,671.68
2012-10-17,BIX 380 CST,671.11
2012-10-18,BIX 380 CST,669.21
2012-10-19,BIX 380 CST,668.79
2012-10-20,BIX 380 CST,668.79
2012-10-21,BIX 380 CST,668.79
2012-10-22,BIX 380 CST,666.61
2012-10-23,BIX 380 CST,663.28
2012-10-24,BIX 380 CST,663.28
2012-10-25,BIX 380 CST,658.22
2012-10-26,BIX 380 CST,657.96
2012-10-27,BIX 380 CST,657.96
2012-10-28,BIX 380 CST,657.96
2012-10-29,BIX 380 CST,659.57
2012-10-30,BIX 380 CST,657.96
2012-10-31,BIX 380 CST,654.34
2012-11-01,BIX 380 CST,652.48
2012-11-02,BIX 380 CST,651.54
2012-11-03,BIX 380 CST,651.54
2012-11-04,BIX 380 CST,651.54
2012-11-05,BIX 380 CST,642.75
2012-11-06,BIX 380 CST,640.71
2012-11-07,BIX 380 CST,644.52
2012-11-08,BIX 380 CST,640.82
2012-11-09,BIX 380 CST,636.55
2012-11-10,BIX 380 CST,636.55
2012-11-11,BIX 380 CST,636.55
2012-11-12,BIX 380 CST,639.71
2012-11-13,BIX 380 CST,640.33
2012-11-14,BIX 380 CST,640.05
2012-11-15,BIX 380 CST,642.2
2012-11-16,BIX 380 CST,643.13
2012-11-17,BIX 380 CST,643.13
2012-11-18,BIX 380 CST,643.13
2012-11-19,BIX 380 CST,644.84
2012-11-20,BIX 380 CST,649.13
2012-11-21,BIX 380 CST,645.72
2012-11-22,BIX 380 CST,645.86
2012-11-23,BIX 380 CST,645.94
2012-11-24,BIX 380 CST,645.94
2012-11-25,BIX 380 CST,645.94
2012-11-26,BIX 380 CST,647.64
2012-11-27,BIX 380 CST,647.06
2012-11-28,BIX 380 CST,643.45
2012-11-29,BIX 380 CST,641.46
2012-11-30,BIX 380 CST,642.21
2012-12-01,BIX 380 CST,642.21
2012-12-02,BIX 380 CST,642.21
2012-12-03,BIX 380 CST,643.18
2012-12-04,BIX 380 CST,644.4
2012-12-05,BIX 380 CST,642.15
2012-12-06,BIX 380 CST,641.15
2012-12-07,BIX 380 CST,637.61
2012-12-08,BIX 380 CST,637.61
2012-12-09,BIX 380 CST,637.61
2012-12-10,BIX 380 CST,634.66
2012-12-11,BIX 380 CST,636.15
2012-12-12,BIX 380 CST,635.64
2012-12-13,BIX 380 CST,635.93
2012-12-14,BIX 380 CST,635.15
2012-12-15,BIX 380 CST,635.15
2012-12-16,BIX 380 CST,635.15
2012-12-17,BIX 380 CST,635.73
2012-12-18,BIX 380 CST,635.6
2012-12-19,BIX 380 CST,637.31
2012-12-20,BIX 380 CST,638.79
2012-12-21,BIX 380 CST,639.3
2012-12-22,BIX 380 CST,639.3
2012-12-23,BIX 380 CST,639.3
2012-12-24,BIX 380 CST,639.3
2012-12-25,BIX 380 CST,639.3
2012-12-26,BIX 380 CST,639.3
2012-12-27,BIX 380 CST,642.03
2012-12-28,BIX 380 CST,644.29
