Hotspot,date,unique_hotspot_vessels_last_3_month,unique_hotspot_vessels_last_6_month,unique_hotspot_vessels_last_9_month,unique_hotspot_vessels_last_12_month
Gulf of Aden,2012-01-01,NA,NA,NA,NA
Gulf of Aden,2012-01-02,NA,NA,NA,NA
Gulf of Aden,2012-01-03,NA,NA,NA,NA
Gulf of Aden,2012-01-04,NA,NA,NA,NA
Gulf of Aden,2012-01-05,NA,NA,NA,NA
Gulf of Aden,2012-01-06,NA,NA,NA,NA
Gulf of Aden,2012-01-07,NA,NA,NA,NA
Gulf of Aden,2012-01-08,NA,NA,NA,NA
Gulf of Aden,2012-01-09,NA,NA,NA,NA
Gulf of Aden,2012-01-10,NA,NA,NA,NA
Gulf of Aden,2012-01-11,NA,NA,NA,NA
Gulf of Aden,2012-01-12,NA,NA,NA,NA
Gulf of Aden,2012-01-13,NA,NA,NA,NA
Gulf of Aden,2012-01-14,NA,NA,NA,NA
Gulf of Aden,2012-01-15,NA,NA,NA,NA
Gulf of Aden,2012-01-16,NA,NA,NA,NA
Gulf of Aden,2012-01-17,NA,NA,NA,NA
Gulf of Aden,2012-01-18,NA,NA,NA,NA
Gulf of Aden,2012-01-19,NA,NA,NA,NA
Gulf of Aden,2012-01-20,NA,NA,NA,NA
Gulf of Aden,2012-01-21,NA,NA,NA,NA
Gulf of Aden,2012-01-22,NA,NA,NA,NA
Gulf of Aden,2012-01-23,NA,NA,NA,NA
Gulf of Aden,2012-01-24,NA,NA,NA,NA
Gulf of Aden,2012-01-25,NA,NA,NA,NA
Gulf of Aden,2012-01-26,NA,NA,NA,NA
Gulf of Aden,2012-01-27,NA,NA,NA,NA
Gulf of Aden,2012-01-28,NA,NA,NA,NA
Gulf of Aden,2012-01-29,NA,NA,NA,NA
Gulf of Aden,2012-01-30,NA,NA,NA,NA
Gulf of Aden,2012-01-31,NA,NA,NA,NA
Gulf of Aden,2012-02-01,NA,NA,NA,NA
Gulf of Aden,2012-02-02,NA,NA,NA,NA
Gulf of Aden,2012-02-03,NA,NA,NA,NA
Gulf of Aden,2012-02-04,NA,NA,NA,NA
Gulf of Aden,2012-02-05,NA,NA,NA,NA
Gulf of Aden,2012-02-06,NA,NA,NA,NA
Gulf of Aden,2012-02-07,NA,NA,NA,NA
Gulf of Aden,2012-02-08,NA,NA,NA,NA
Gulf of Aden,2012-02-09,NA,NA,NA,NA
Gulf of Aden,2012-02-10,NA,NA,NA,NA
Gulf of Aden,2012-02-11,NA,NA,NA,NA
Gulf of Aden,2012-02-12,NA,NA,NA,NA
Gulf of Aden,2012-02-13,NA,NA,NA,NA
Gulf of Aden,2012-02-14,NA,NA,NA,NA
Gulf of Aden,2012-02-15,NA,NA,NA,NA
Gulf of Aden,2012-02-16,NA,NA,NA,NA
Gulf of Aden,2012-02-17,NA,NA,NA,NA
