Hotspot,date,hotspot_attacks_window_last3_month,hotspot_attacks_window_last6_month,hotspot_attacks_window_last9_month,hotspot_attacks_window_last12_month
Gulf of Aden,2010-01-01,2,2,2,2
Gulf of Aden,2010-01-02,2,2,2,2
Gulf of Aden,2010-01-03,2,2,2,2
Gulf of Aden,2010-01-04,2,2,2,2
Gulf of Aden,2010-01-05,3,3,3,3
Gulf of Aden,2010-01-06,3,3,3,3
Gulf of Aden,2010-01-07,3,3,3,3
Gulf of Aden,2010-01-08,3,3,3,3
Gulf of Aden,2010-01-09,4,4,4,4
Gulf of Aden,2010-01-10,4,4,4,4
Gulf of Aden,2010-01-11,4,4,4,4
Gulf of Aden,2010-01-12,4,4,4,4
Gulf of Aden,2010-01-13,4,4,4,4
Gulf of Aden,2010-01-14,4,4,4,4
Gulf of Aden,2010-01-15,4,4,4,4
Gulf of Aden,2010-01-16,5,5,5,5
Gulf of Aden,2010-01-17,6,6,6,6
Gulf of Aden,2010-01-18,6,6,6,6
Gulf of Aden,2010-01-19,6,6,6,6
Gulf of Aden,2010-01-20,7,7,7,7
Gulf of Aden,2010-01-21,7,7,7,7
Gulf of Aden,2010-01-22,7,7,7,7
Gulf of Aden,2010-01-23,7,7,7,7
Gulf of Aden,2010-01-24,7,7,7,7
Gulf of Aden,2010-01-25,7,7,7,7
Gulf of Aden,2010-01-26,8,8,8,8
Gulf of Aden,2010-01-27,8,8,8,8
Gulf of Aden,2010-01-28,8,8,8,8
Gulf of Aden,2010-01-29,8,8,8,8
Gulf of Aden,2010-01-30,8,8,8,8
Gulf of Aden,2010-01-31,8,8,8,8
Gulf of Aden,2010-02-01,9,9,9,9
Gulf of Aden,2010-02-02,10,10,10,10
Gulf of Aden,2010-02-03,11,11,11,11
Gulf of Aden,2010-02-04,11,11,11,11
Gulf of Aden,2010-02-05,12,12,12,12
Gulf of Aden,2010-02-06,12,12,12,12
Gulf of Aden,2010-02-07,12,12,12,12
Gulf of Aden,2010-02-08,12,12,12,12
Gulf of Aden,2010-02-09,12,12,12,12
