"","country","site","year","date","gear","inside_area","species","length_cm"
"1","Indonesia","Karimunjawa National Park",2003,"4/30/03","Trap","Inside","Caesio cuning",35.704
"2","Indonesia","Karimunjawa National Park",2003,"4/30/03","Trap","Inside","Caesio cuning",29.318
"3","Indonesia","Karimunjawa National Park",2003,"4/30/03","Trap","Inside","Caesio cuning",34.046
"4","Indonesia","Karimunjawa National Park",2003,"4/30/03","Trap","Inside","Caesio cuning",35.844
"5","Indonesia","Karimunjawa National Park",2003,"4/30/03","Trap","Inside","Caesio cuning",34.467
"6","Indonesia","Karimunjawa National Park",2003,"4/30/03","Trap","Inside","Caesio cuning",27.672
"7","Indonesia","Karimunjawa National Park",2003,"4/30/03","Trap","Inside","Caesio cuning",30.438
"8","Indonesia","Karimunjawa National Park",2003,"4/30/03","Trap","Inside","Caesio cuning",26.715
"9","Indonesia","Karimunjawa National Park",2003,"4/30/03","Trap","Inside","Caesio cuning",32.57
"10","Indonesia","Karimunjawa National Park",2003,"4/30/03","Trap","Inside","Caesio cuning",35.084
"11","Indonesia","Karimunjawa National Park",2003,"4/30/03","Trap","Inside","Caesio cuning",39.884
"12","Indonesia","Karimunjawa National Park",2003,"4/30/03","Trap","Inside","Plectropomus oligacanthus",46.132
"13","Indonesia","Karimunjawa National Park",2003,"4/30/03","Trap","Inside","Plectropomus oligacanthus",38.735
"14","Indonesia","Karimunjawa National Park",2003,"4/30/03","Trap","Inside","Caesio cuning",27.557
"15","Indonesia","Karimunjawa National Park",2003,"4/30/03","Trap","Inside","Caesio cuning",28.621
"16","Indonesia","Karimunjawa National Park",2003,"4/30/03","Trap","Inside","Caesio cuning",29.38
"17","Indonesia","Karimunjawa National Park",2003,"4/30/03","Trap","Inside","Caesio cuning",26.191
"18","Indonesia","Karimunjawa National Park",2003,"4/30/03","Trap","Inside","Caesio cuning",34.041
"19","Indonesia","Karimunjawa National Park",2003,"4/30/03","Muroami","Inside","Caesio cuning",27.193
"20","Indonesia","Karimunjawa National Park",2003,"4/30/03","Muroami","Inside","Caesio cuning",25.572
"21","Indonesia","Karimunjawa National Park",2003,"4/30/03","Muroami","Inside","Caesio cuning",26.253
"22","Indonesia","Karimunjawa National Park",2003,"4/30/03","Muroami","Inside","Caesio cuning",28.215
"23","Indonesia","Karimunjawa National Park",2003,"4/30/03","Muroami","Inside","Caesio cuning",25.647
"24","Indonesia","Karimunjawa National Park",2003,"4/30/03","Muroami","Inside","Caesio cuning",30.682
"25","Indonesia","Karimunjawa National Park",2003,"4/30/03","Muroami","Inside","Caesio cuning",23.157
"26","Indonesia","Karimunjawa National Park",2003,"4/30/03","Handline","Inside","Plectropomus oligacanthus",35.822
"27","Indonesia","Karimunjawa National Park",2003,"4/30/03","Handline","Inside","Plectropomus oligacanthus",43.311
"28","Indonesia","Karimunjawa National Park",2003,"4/30/03","Trap","Inside","Scarus ghobban",35.531
"29","Indonesia","Karimunjawa National Park",2003,"4/30/03","Handline","Inside","Plectropomus leopardus",60.878
"30","Indonesia","Karimunjawa National Park",2003,"4/30/03","Handline","Inside","Plectropomus oligacanthus",34.346
"31","Indonesia","Karimunjawa National Park",2003,"4/30/03","Handline","Inside","Plectropomus oligacanthus",46.986
"32","Indonesia","Karimunjawa National Park",2003,"4/30/03","Handline","Outside","Plectropomus oligacanthus",61.569
"33","Indonesia","Karimunjawa National Park",2003,"4/30/03","Handline","Outside","Plectropomus oligacanthus",44.745
"34","Indonesia","Karimunjawa National Park",2003,"5/1/03","Handline","Outside","Caesio cuning",18.58
"35","Indonesia","Karimunjawa National Park",2003,"5/1/03","Handline","Outside","Caesio cuning",16.176
"36","Indonesia","Karimunjawa National Park",2003,"5/1/03","Handline","Outside","Caesio cuning",19.919
"37","Indonesia","Karimunjawa National Park",2003,"5/1/03","Handline","Outside","Caesio cuning",20.875
"38","Indonesia","Karimunjawa National Park",2003,"5/1/03","Handline","Outside","Caesio cuning",19.343
"39","Indonesia","Karimunjawa National Park",2003,"5/1/03","Handline","Outside","Caesio cuning",19.836
"40","Indonesia","Karimunjawa National Park",2003,"5/1/03","Handline","Outside","Caesio cuning",16.04
"41","Indonesia","Karimunjawa National Park",2003,"5/1/03","Handline","Outside","Caesio cuning",19.816
"42","Indonesia","Karimunjawa National Park",2003,"5/1/03","Handline","Outside","Caesio cuning",17.309
"43","Indonesia","Karimunjawa National Park",2003,"5/1/03","Handline","Outside","Caesio cuning",21.91
"44","Indonesia","Karimunjawa National Park",2003,"5/1/03","Handline","Outside","Caesio cuning",20.227
"45","Indonesia","Karimunjawa National Park",2003,"5/1/03","Handline","Outside","Caesio cuning",19.309
"46","Indonesia","Karimunjawa National Park",2003,"5/1/03","Handline","Outside","Caesio cuning",13.997
"47","Indonesia","Karimunjawa National Park",2003,"5/1/03","Handline","Outside","Caesio cuning",19.106
"48","Indonesia","Karimunjawa National Park",2003,"5/1/03","Gillnet","Inside","Bolbometopon muricatum",51.886
"49","Indonesia","Karimunjawa National Park",2003,"5/1/03","Gillnet","Inside","Caesio cuning",33.162
"50","Indonesia","Karimunjawa National Park",2003,"5/1/03","Gillnet","Inside","Caesio cuning",32.713
"51","Indonesia","Karimunjawa National Park",2003,"5/1/03","Gillnet","Inside","Caesio cuning",32.577
"52","Indonesia","Karimunjawa National Park",2003,"5/1/03","Trap","Inside","Caesio cuning",28.698
"53","Indonesia","Karimunjawa National Park",2003,"5/1/03","Trap","Inside","Scarus ghobban",28.262
"54","Indonesia","Karimunjawa National Park",2003,"5/2/03","Gillnet","Inside","Scarus ghobban",52.289
"55","Indonesia","Karimunjawa National Park",2003,"5/2/03","Gillnet","Inside","Caranx ignobilis",61.798
"56","Indonesia","Karimunjawa National Park",2003,"5/2/03","Trap","Inside","Caesio cuning",33.417
"57","Indonesia","Karimunjawa National Park",2003,"5/3/03","Handline","Inside","Plectropomus areolatus",32.164
"58","Indonesia","Karimunjawa National Park",2003,"5/3/03","Gillnet","Inside","Bolbometopon muricatum",61.241
"59","Indonesia","Karimunjawa National Park",2003,"5/4/03","Gillnet","Inside","Caesio cuning",26.96
"60","Indonesia","Karimunjawa National Park",2003,"5/4/03","Gillnet","Inside","Bolbometopon muricatum",61.964
"61","Indonesia","Karimunjawa National Park",2003,"5/5/03","Gillnet","Inside","Caesio cuning",34.585
"62","Indonesia","Karimunjawa National Park",2003,"5/5/03","Gillnet","Inside","Caesio cuning",36.98
"63","Indonesia","Karimunjawa National Park",2003,"5/5/03","Gillnet","Inside","Caesio cuning",34.847
"64","Indonesia","Karimunjawa National Park",2003,"5/5/03","Trap","Inside","Caesio cuning",30.813
"65","Indonesia","Karimunjawa National Park",2003,"5/5/03","Trap","Inside","Caesio cuning",30.012
"66","Indonesia","Karimunjawa National Park",2003,"5/5/03","Trap","Inside","Caesio cuning",27.474
"67","Indonesia","Karimunjawa National Park",2003,"5/6/03","Gillnet","Inside","Bolbometopon muricatum",85.675
"68","Indonesia","Karimunjawa National Park",2003,"5/6/03","Gillnet","Inside","Bolbometopon muricatum",80.97
"69","Indonesia","Karimunjawa National Park",2003,"5/6/03","Gillnet","Inside","Bolbometopon muricatum",52.265
"70","Indonesia","Karimunjawa National Park",2003,"5/6/03","Gillnet","Inside","Bolbometopon muricatum",49.386
"71","Indonesia","Karimunjawa National Park",2003,"5/6/03","Gillnet","Inside","Bolbometopon muricatum",56.913
"72","Indonesia","Karimunjawa National Park",2003,"5/6/03","Gillnet","Inside","Bolbometopon muricatum",54.739
"73","Indonesia","Karimunjawa National Park",2003,"5/7/03","Gillnet","Inside","Caesio cuning",35.357
"74","Indonesia","Karimunjawa National Park",2003,"5/7/03","Trap","Inside","Caesio cuning",27.328
"75","Indonesia","Karimunjawa National Park",2003,"5/7/03","Trap","Inside","Scarus ghobban",30.539
"76","Indonesia","Karimunjawa National Park",2003,"5/7/03","Trap","Inside","Scarus ghobban",37.639
"77","Indonesia","Karimunjawa National Park",2003,"5/7/03","Gillnet","Inside","Bolbometopon muricatum",47.222
"78","Indonesia","Karimunjawa National Park",2003,"5/7/03","Gillnet","Inside","Plectropomus oligacanthus",32.973
"79","Indonesia","Karimunjawa National Park",2003,"5/7/03","Gillnet","Inside","Bolbometopon muricatum",57.553
"80","Indonesia","Karimunjawa National Park",2003,"5/8/03","Trap","Inside","Caesio cuning",31.753
"81","Indonesia","Karimunjawa National Park",2003,"5/8/03","Trap","Inside","Caesio cuning",33.118
"82","Indonesia","Karimunjawa National Park",2003,"5/8/03","Trap","Inside","Caesio cuning",26.298
"83","Indonesia","Karimunjawa National Park",2003,"5/11/03","Trap","Inside","Caesio cuning",23.861
"84","Indonesia","Karimunjawa National Park",2003,"5/11/03","Trap","Inside","Caesio cuning",24.155
"85","Indonesia","Karimunjawa National Park",2003,"5/11/03","Trap","Inside","Caesio cuning",22.879
"86","Indonesia","Karimunjawa National Park",2003,"5/11/03","Trap","Inside","Caesio cuning",23.457
"87","Indonesia","Karimunjawa National Park",2003,"5/11/03","Trap","Inside","Caesio cuning",21.958
"88","Indonesia","Karimunjawa National Park",2003,"5/11/03","Handline","Inside","Caesio cuning",30.665
"89","Indonesia","Karimunjawa National Park",2003,"5/11/03","Handline","Inside","Scarus ghobban",19.473
"90","Indonesia","Karimunjawa National Park",2003,"5/12/03","Trap","Inside","Caesio cuning",22.896
"91","Indonesia","Karimunjawa National Park",2003,"5/12/03","Trap","Inside","Caesio cuning",26.928
"92","Indonesia","Karimunjawa National Park",2003,"5/12/03","Trap","Inside","Caesio cuning",25.597
"93","Indonesia","Karimunjawa National Park",2003,"5/12/03","Trap","Inside","Caesio cuning",26.083
"94","Indonesia","Karimunjawa National Park",2003,"5/12/03","Trap","Inside","Caesio cuning",22.55
"95","Indonesia","Karimunjawa National Park",2003,"5/12/03","Trap","Inside","Caesio cuning",23.239
"96","Indonesia","Karimunjawa National Park",2003,"5/12/03","Trap","Inside","Caesio cuning",23.798
"97","Indonesia","Karimunjawa National Park",2003,"5/12/03","Trap","Inside","Caesio cuning",24.303
"98","Indonesia","Karimunjawa National Park",2003,"5/12/03","Trap","Inside","Scarus ghobban",27.872
"99","Indonesia","Karimunjawa National Park",2003,"5/12/03","Trap","Inside","Caesio cuning",36.71
"100","Indonesia","Karimunjawa National Park",2003,"5/12/03","Trap","Inside","Caesio cuning",35.07
"101","Indonesia","Karimunjawa National Park",2003,"5/12/03","Trap","Inside","Scarus ghobban",38.441
"102","Indonesia","Karimunjawa National Park",2003,"5/12/03","Trap","Inside","Scarus ghobban",26.02
"103","Indonesia","Karimunjawa National Park",2003,"5/12/03","Trap","Inside","Caesio cuning",33.149
"104","Indonesia","Karimunjawa National Park",2003,"5/12/03","Trap","Inside","Caesio cuning",36.833
"105","Indonesia","Karimunjawa National Park",2003,"5/12/03","Trap","Inside","Caesio cuning",29.757
"106","Indonesia","Karimunjawa National Park",2003,"5/12/03","Trap","Inside","Caesio cuning",37.789
"107","Indonesia","Karimunjawa National Park",2003,"5/13/03","Trap","Inside","Caesio cuning",28.72
